"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0.75,0.833333333333333,0.875,0.9,0.932286701979935,0.940363121441563,0.946718237447061,0.951849341367147,0.956078992267431,0.95962556409095,0.962642166962312,0.965239333326079,0.96749885617979,0.969482559617577,0.97123804227772,0.972802546304412,0.974205628740298,0.974527041398254,0.975761874912147,0.976882523487022
"2",0.75,0.833333333333333,0.875,0.9,0.916666666666667,0.928571428571428,0.9375,0.243940833813181,0.699035210068135,0.812123582887166,0.863437375930554,0.892734336806941,0.911681435577103,0.924939845719868,0.934737128175666,0.951382946568478,0.955691266679163,0.959298160576527,0.962362029813999,0.964996919606534
"3",0.75,0.833333333333333,0.875,0.881599460403014,0.90426872874808,0.919652303083954,0.930776242119154,0.939194598852867,0.945787432661352,0.951090456502116,0.955448448585707,0.959093357370312,0.959885516250312,0.962864832404422,0.965432194877679,0.967667520573549,0.969631310622558,0.971370209077492,0.972920755305384,0.974311979681248
"4",0.75,0.833333333333333,0.875,0.9,0.240101159317494,0.698428629289453,0.811887386619596,0.863312625199321,0.892657385546973,0.911629274894781,0.924902173634305,0.934708650491455,0.243660516931832,0.163825099883693,0.687101254467689,0.807541377538099,0.861032402356655,0.891256146512055,0.910681764698837,0.924219012792369
"5",0.557037918137769,0.765122007351856,0.840192525155259,0.878898405264092,0.902510639352488,0.91841749237019,0.929861621902718,0.938490039618667,0.945228077219182,0.950635639141333,0.951776209961973,0.956018152701216,0.959574159030138,0.962598160649283,0.965201236196079,0.96746555325184,0.969453199744329,0.971211964485555,0.972779229501252,0.974184656578498
"6",0.185277161682268,0.135184106549995,0.106413325802694,0.0877399302380411,0.677021219641321,0.803774539473597,0.859079083104746,0.890063724571588,0.909878884190652,0.923641847923246,0.933758070566351,0.941507396405716,0.947633502021474,0.952598050234609,0.956702794184688,0.960153296067171,0.963094426952556,0.96563122558221,0.971551090646582,0.973082630269569
"7",0.75,0.833333333333333,0.875,0.9,0.932286701979935,0.940363121441563,0.946718237447061,0.951849341367147,0.956078992267431,0.95962556409095,0.962642166962312,0.965239333326079,0.96749885617979,0.969482559617577,0.97123804227772,0.971636081574543,0.973158728826542,0.974526225789342,0.975761136463067,0.976881851744643
"8",0.75,0.833333333333333,0.875,0.9,0.916666666666667,0.928571428571428,0.9375,0.944444444444444,0.95,0.954545454545454,0.958333333333333,0.961538461538461,0.964285714285714,0.964893752343876,0.967196937234524,0.969216521959151,0.971001849799025,0.971406325468521,0.972953067820171,0.974341059089402
"9",0.75,0.833333333333333,0.875,0.9,0.916666666666667,0.928571428571428,0.9375,0.243940833813181,0.699035210068135,0.812123582887166,0.863437375930554,0.892734336806941,0.911681435577103,0.924939845719868,0.934737128175666,0.942272104646017,0.948247258354055,0.953101509299654,0.962924821584783,0.965484181819185
"10",0.75,0.833333333333333,0.875,0.9,0.916666666666667,0.928571428571428,0.9375,0.944444444444444,0.244634492927845,0.699145188068028,0.812166445497035,0.863460023669029,0.892748310076305,0.911690908643521,0.2413155684949,0.698620078029452,0.811961896156899,0.86335196932205,0.892681651325901,0.911645721796158
